År,År-Månad,A5_id,A5_Id_Description,Befattningskod,BefattningskodText,Åldersgrupp,Antal anställningar,Sjukfrånvaro total %,Sjukfrånvaro total tim
2021,2021-APR,19,Serviceförvaltningen,9012,Anläggningsarbetare,30-39 år,25,5.02 %,106.2
2019,2019-AUG,19,Personalavdelning,9012,IT-specialist,40-49 år,49,7.47 %,164.7
2021,2021-JUL,12,Personalavdelning,5678,Platschef,40-49 år,35,5.01 %,107.8
2021,2021-MAY,5,Personalavdelning,1234,Anläggningsarbetare,20-29 år,41,5.06 %,114.3
2019,2019-JUL,10,Serviceförvaltningen,9012,IT-specialist,50-59 år,47,5.8 %,198.8
2019,2019-MAR,17,IT-avdelning,5678,Administratör,50-59 år,9,8.97 %,197.1
2021,2021-DEC,5,Personalavdelning,9012,Mekaniker,20-29 år,17,6.5 %,105.0
2020,2020-FEB,16,Serviceförvaltningen,5678,IT-specialist,20-29 år,32,7.75 %,100.2
2021,2021-JUN,7,Personalavdelning,7594,Administratör,20-29 år,47,5.74 %,111.8
2021,2021-FEB,9,Personalavdelning,5678,Anläggningsarbetare,20-29 år,29,4.85 %,214.4
2021,2021-MAR,3,Personalavdelning,7594,Anläggningsarbetare,20-29 år,39,9.68 %,187.7
2021,2021-JUN,15,Serviceförvaltningen,9012,Administratör,30-39 år,43,7.23 %,105.7
2019,2019-MAY,16,IT-avdelning,5678,Administratör,40-49 år,11,9.54 %,173.2
2021,2021-AUG,18,Serviceförvaltningen,9012,Mekaniker,40-49 år,42,4.42 %,206.8
2020,2020-SEP,14,Serviceförvaltningen,7594,Anläggningsarbetare,40-49 år,36,4.03 %,230.3
2019,2019-NOV,3,Personalavdelning,5678,Administratör,50-59 år,7,8.99 %,240.1
2020,2020-MAR,12,Ekonomiavdelning,9012,Platschef,30-39 år,49,7.77 %,149.1
2020,2020-DEC,9,Ekonomiavdelning,7594,Platschef,40-49 år,43,4.31 %,120.4
2020,2020-OCT,7,Ekonomiavdelning,9012,Administratör,50-59 år,41,4.89 %,135.5
2020,2020-MAR,9,Serviceförvaltningen,1234,Mekaniker,30-39 år,26,8.6 %,216.4
2019,2019-MAR,13,Personalavdelning,7594,Anläggningsarbetare,30-39 år,12,6.18 %,245.7
2019,2019-JUN,18,Ekonomiavdelning,7594,Platschef,50-59 år,21,7.69 %,170.0
2020,2020-JAN,5,Teknisk Förvaltning,7594,Administratör,30-39 år,31,5.23 %,145.8
2020,2020-JUL,13,Teknisk Förvaltning,5678,Administratör,50-59 år,37,5.67 %,164.4
2019,2019-DEC,4,Teknisk Förvaltning,5678,IT-specialist,40-49 år,21,9.93 %,145.7
2019,2019-JAN,2,IT-avdelning,5678,Administratör,50-59 år,46,4.73 %,138.5
